OverallQual,YearBuilt,YearRemodAdd,GarageArea,1stFlrSF,TotalBsmtSF,GrLivArea,GarageCars,Fireplaces,TotRmsAbvGrd,FullBath,MSZoning,GarageType,Neighborhood,Condition1,Condition2,ExterQual,BsmtQual,KitchenQual,GarageQual,GarageFinish,SaleType,SaleCondition,FireplaceQu,RoofMatl,Exterior1st,Exterior2nd,Foundation,MiscFeature,PoolQC,Electrical,HeatingQC,Heating,BsmtExposure,BsmtCond,ExterCond,BsmtFinType1,BsmtFinType2,SalePrice
5,1965,1965,384,1040,1040,1040,1,0,5,1,RL,Detchd,Sawyer,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,HdBoard,HdBoard,CBlock,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,Rec,Unf,129500
9,2005,2006,736,1182,1175,2324,3,2,11,3,RL,BuiltIn,NridgHt,Norm,Norm,Ex,Ex,Ex,TA,Fin,New,Partial,Gd,CompShg,WdShing,Wd Shng,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,345000
5,1962,1962,352,912,912,912,1,0,4,1,RL,Detchd,Sawyer,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,HdBoard,Plywood,CBlock,Unknown,Unknown,SBrkr,TA,GasA,No,TA,TA,ALQ,Unf,144000
7,2006,2007,840,1494,1494,1494,3,1,7,2,RL,Attchd,CollgCr,Norm,Norm,Gd,Gd,Gd,TA,RFn,New,Partial,Gd,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Av,TA,TA,Unf,Unf,279500
6,1960,1960,352,1253,1253,1253,1,1,5,1,RL,Attchd,NAmes,Norm,Norm,TA,TA,TA,TA,RFn,WD,Normal,Fa,CompShg,MetalSd,MetalSd,CBlock,Unknown,Unknown,SBrkr,TA,GasA,No,TA,TA,BLQ,Unf,157000
7,1929,2001,576,854,832,854,2,0,5,1,RM,Detchd,BrkSide,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,Wd Sdng,Wd Sdng,BrkTil,Unknown,Unknown,FuseA,Ex,GasA,No,TA,TA,Unf,Unf,132000
6,1970,1970,480,1004,1004,1004,2,1,5,1,RL,Attchd,NAmes,Norm,Norm,TA,TA,TA,TA,Fin,WD,Normal,TA,CompShg,Wd Sdng,Wd Sdng,CBlock,Shed,Unknown,SBrkr,Ex,GasA,No,TA,TA,ALQ,Unf,149000
4,1967,1967,516,1296,0,1296,2,0,6,2,RL,CarPort,Sawyer,Norm,Norm,TA,Unknown,TA,TA,Unf,WD,Normal,Unknown,CompShg,MetalSd,MetalSd,Slab,Shed,Unknown,SBrkr,TA,GasA,Unknown,Unknown,TA,Unknown,Unknown,90000
5,2004,2004,576,1114,1114,1114,2,0,6,1,RL,Detchd,SawyerW,RRAe,Norm,TA,TA,Gd,TA,Unf,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,159000
5,1958,1965,294,1339,1029,1339,1,0,6,1,RL,Attchd,NAmes,Norm,Norm,TA,TA,TA,TA,Unf,COD,Abnorml,Unknown,CompShg,BrkFace,Plywood,CBlock,Unknown,Unknown,SBrkr,TA,GasA,No,TA,TA,LwQ,Unf,139000
8,2005,2006,853,1158,1158,2376,3,1,9,3,RL,BuiltIn,NridgHt,Norm,Norm,Gd,Ex,Gd,TA,RFn,New,Partial,Gd,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Av,TA,TA,Unf,Unf,325300
7,1930,1950,280,1108,637,1108,1,1,6,1,RM,Attchd,IDOTRR,Norm,Norm,TA,TA,Gd,TA,Unf,WD,Normal,Gd,CompShg,Wd Sdng,Wd Sdng,PConc,Unknown,Unknown,FuseF,Ex,GasA,No,TA,TA,Unf,Unf,139400
8,2002,2002,534,1795,1777,1795,2,1,7,2,RL,Attchd,CollgCr,Norm,Norm,Gd,Gd,Gd,TA,RFn,WD,Normal,Gd,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,Unf,Unf,230000
5,1976,1976,572,1060,1040,1060,2,1,6,1,RM,Attchd,MeadowV,Norm,Norm,TA,Gd,TA,TA,Unf,WD,Normal,TA,CompShg,CemntBd,CmentBd,PConc,Unknown,Unknown,SBrkr,TA,GasA,No,TA,TA,GLQ,Unf,129900
5,1968,2001,270,1060,1060,1060,1,1,6,1,RL,Attchd,Sawyer,Norm,Norm,TA,TA,Gd,TA,Unf,WD,Normal,TA,CompShg,Plywood,Plywood,CBlock,Unknown,Unknown,SBrkr,Ex,GasA,Mn,TA,Gd,Rec,ALQ,154000
8,2007,2007,890,1600,1566,1600,3,1,7,2,RL,Attchd,NridgHt,Norm,Norm,Gd,Gd,Gd,TA,RFn,WD,Normal,Gd,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,Unf,Unf,256300
5,1951,2000,576,900,900,900,2,0,5,1,RL,Detchd,NAmes,Norm,Norm,TA,TA,Gd,TA,Unf,WD,Normal,Unknown,CompShg,Wd Sdng,Wd Sdng,CBlock,Unknown,Unknown,SBrkr,TA,GasA,Mn,TA,TA,BLQ,Rec,134800
8,2007,2008,772,1704,1704,1704,3,1,7,2,RL,Attchd,NridgHt,Norm,Norm,Gd,Ex,Gd,TA,RFn,WD,Normal,Gd,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,306000
5,1957,1997,319,1600,1484,1600,1,2,6,1,RL,Attchd,NAmes,Norm,Norm,TA,TA,TA,TA,RFn,WD,Normal,Gd,CompShg,MetalSd,MetalSd,CBlock,Unknown,Unknown,SBrkr,TA,GasA,Gd,TA,TA,BLQ,Unf,207500
4,1927,1950,240,520,520,520,1,0,4,1,RM,Detchd,BrkSide,Feedr,RRNn,TA,TA,Fa,Fa,Unf,WD,Normal,Unknown,CompShg,MetalSd,MetalSd,BrkTil,Unknown,Unknown,SBrkr,Fa,GasA,No,TA,TA,Unf,Unf,68500
4,1920,1950,250,649,649,1317,1,0,6,1,C (all),Detchd,IDOTRR,Feedr,Norm,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,BrkFace,BrkFace,BrkTil,Unknown,Unknown,SBrkr,TA,GasA,No,TA,Fa,Unf,Unf,40000
5,1966,2006,271,1228,1228,1228,1,0,6,1,RL,Attchd,Sawyer,Norm,Norm,TA,TA,Gd,TA,Unf,WD,Normal,Unknown,CompShg,HdBoard,HdBoard,CBlock,Unknown,Unknown,SBrkr,Gd,GasA,No,TA,TA,Unf,Unf,149350
8,2007,2007,484,1234,1234,1234,2,0,7,2,RL,Attchd,CollgCr,Norm,Norm,Gd,Ex,Gd,TA,RFn,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Av,TA,TA,Unf,Unf,179900
5,1959,1959,447,1700,1398,1700,2,1,6,1,RL,Attchd,NAmes,Norm,Norm,TA,TA,Gd,TA,RFn,WD,Normal,Gd,CompShg,BrkFace,BrkFace,CBlock,Unknown,Unknown,SBrkr,Gd,GasA,No,TA,TA,Rec,Unf,165500
9,2005,2005,556,1561,1561,1561,2,1,6,2,RL,Attchd,NridgHt,Norm,Norm,Ex,Ex,Ex,TA,Fin,WD,Normal,Gd,CompShg,MetalSd,MetalSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,277500
8,2004,2005,691,1132,1117,2452,3,1,9,3,RL,BuiltIn,NridgHt,Norm,Norm,Gd,Ex,Gd,TA,Fin,WD,Normal,Gd,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Av,TA,TA,Unf,Unf,309000
5,1994,1995,672,1097,1097,1097,2,0,6,1,RL,Attchd,CollgCr,Norm,Norm,TA,Gd,TA,TA,Unf,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,Unf,Unf,145000
5,1954,1990,498,1297,1297,1297,2,1,5,1,RL,Attchd,NAmes,Norm,Norm,TA,TA,TA,TA,Fin,WD,Normal,TA,CompShg,Wd Sdng,Wd Sdng,CBlock,Unknown,Unknown,SBrkr,Gd,GasA,No,TA,TA,Rec,Unf,153000
5,1953,2007,246,1057,1057,1057,1,0,5,1,RL,Detchd,NAmes,Norm,Norm,TA,TA,Gd,TA,Unf,WD,Abnorml,Unknown,CompShg,VinylSd,VinylSd,CBlock,Unknown,Unknown,SBrkr,TA,GasA,No,TA,Gd,GLQ,Unf,109000
4,1955,1955,0,1152,0,1152,0,0,6,2,RL,Unknown,Edwards,Norm,Norm,TA,Unknown,Fa,Unknown,Unknown,WD,AdjLand,Unknown,CompShg,AsbShng,Plywood,PConc,Unknown,Unknown,FuseP,TA,GasA,Unknown,Unknown,TA,Unknown,Unknown,82000
6,1965,1965,440,1324,1088,1324,2,1,6,2,RL,Attchd,NAmes,Norm,Norm,TA,TA,TA,TA,RFn,WD,Abnorml,TA,CompShg,Wd Sdng,Wd Sdng,CBlock,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,Rec,Unf,160000
5,1959,1959,308,1328,1350,1328,1,2,5,1,RL,Attchd,Timber,Norm,Norm,TA,TA,TA,TA,RFn,WD,Normal,Gd,CompShg,VinylSd,VinylSd,CBlock,Unknown,Unknown,SBrkr,Gd,GasA,Gd,TA,Gd,BLQ,Unf,170000
5,1983,1983,504,884,840,884,2,0,5,1,RL,Attchd,SawyerW,Norm,Norm,TA,Gd,Gd,TA,RFn,WD,Normal,Unknown,CompShg,HdBoard,HdBoard,CBlock,Unknown,Unknown,SBrkr,Gd,GasA,Av,TA,TA,ALQ,LwQ,144000
5,1975,1980,308,938,938,938,1,0,5,1,RL,Detchd,CollgCr,Norm,Norm,TA,Gd,TA,TA,Unf,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,CBlock,Unknown,Unknown,SBrkr,TA,GasA,Av,TA,TA,LwQ,BLQ,130250
5,1959,1959,300,1150,1150,1150,1,0,6,1,RL,Attchd,NAmes,Norm,Norm,TA,TA,TA,TA,RFn,WD,Normal,Unknown,CompShg,BrkFace,Wd Sdng,CBlock,Unknown,Unknown,FuseA,Ex,GasA,No,TA,TA,ALQ,BLQ,141000
9,2005,2005,576,1752,1752,1752,2,1,6,2,RL,Attchd,NridgHt,Norm,Norm,Ex,Ex,Ex,TA,RFn,WD,Normal,Gd,CompShg,MetalSd,MetalSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,319900
7,2003,2003,670,1518,1434,2149,2,1,6,1,RL,Attchd,Mitchel,Norm,Norm,Gd,Ex,Gd,TA,RFn,WD,Abnorml,Ex,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,239686
8,2006,2006,826,1656,1656,1656,3,0,7,2,FV,Attchd,Somerst,Norm,Norm,Gd,Gd,Gd,TA,RFn,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Av,TA,TA,GLQ,Unf,249700
4,1920,2008,0,736,736,1452,0,0,8,2,RM,Unknown,OldTown,Norm,Norm,TA,TA,TA,Unknown,Unknown,New,Partial,Unknown,CompShg,MetalSd,MetalSd,BrkTil,Unknown,Unknown,SBrkr,Gd,GasA,No,TA,TA,Unf,Unf,113000
5,1966,1966,386,955,955,955,1,0,6,1,RL,Attchd,Sawyer,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,HdBoard,HdBoard,CBlock,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,BLQ,Unf,127000
6,1997,1997,388,794,794,1470,2,0,6,2,RL,Attchd,Gilbert,Norm,Norm,TA,Gd,TA,TA,Fin,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Gd,GasA,Av,TA,TA,GLQ,Unf,177000
6,1934,1950,528,816,816,1176,2,1,6,1,RM,Detchd,BrkSide,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,Gd,CompShg,Wd Sdng,Wd Sdng,PConc,Shed,Unknown,SBrkr,TA,GasA,No,TA,TA,Unf,Unf,114500
5,1963,1963,516,816,816,816,2,0,5,1,RM,CarPort,IDOTRR,RRNn,Norm,Fa,Gd,TA,TA,Unf,WD,Normal,Unknown,CompShg,Wd Sdng,Wd Sdng,CBlock,Unknown,Unknown,SBrkr,TA,GasA,Gd,TA,TA,LwQ,GLQ,110000
9,1981,1987,894,1842,1842,1842,3,1,5,0,RL,Attchd,Veenker,Norm,Norm,Gd,Ex,Gd,TA,Fin,WD,Normal,Gd,WdShngl,WdShing,Wd Shng,CBlock,Unknown,Unknown,SBrkr,Gd,GasA,Gd,TA,TA,GLQ,Unf,385000
5,1955,1955,572,1360,384,1360,2,1,6,1,RL,Detchd,NAmes,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,TA,CompShg,MetalSd,MetalSd,CBlock,Unknown,Unknown,SBrkr,TA,GasA,No,TA,TA,ALQ,Unf,130000
6,1964,1964,576,1425,1425,1425,2,1,7,2,RL,Attchd,NAmes,Norm,Norm,TA,TA,TA,TA,RFn,WD,Normal,Gd,CompShg,HdBoard,Plywood,CBlock,Unknown,Unknown,SBrkr,Gd,GasA,No,TA,TA,BLQ,Unf,180500
8,1999,2000,480,983,970,1739,2,0,7,2,FV,Attchd,Somerst,Norm,Norm,Gd,Gd,Gd,TA,Fin,WD,Abnorml,Unknown,CompShg,MetalSd,MetalSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,172500
7,2004,2004,565,860,860,1720,2,0,7,2,RL,Attchd,CollgCr,Norm,Norm,Gd,Gd,Gd,TA,RFn,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,Unf,Unf,196500
10,2006,2006,641,1426,1410,2945,3,1,10,3,RL,BuiltIn,StoneBr,Norm,Norm,Ex,Ex,Gd,TA,Fin,New,Partial,Gd,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Gd,TA,TA,Unf,Unf,438780
5,1972,1972,352,780,780,780,1,0,4,1,RL,Detchd,CollgCr,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,HdBoard,HdBoard,CBlock,Unknown,Unknown,SBrkr,Ex,GasA,Av,TA,TA,ALQ,Unf,124900
6,2004,2004,576,1158,1158,1158,2,0,5,1,RL,Detchd,SawyerW,RRAe,Norm,TA,Gd,Gd,TA,Unf,New,Partial,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,ALQ,Unf,158000
5,1920,1996,288,581,530,1111,1,0,6,1,RM,Detchd,IDOTRR,Norm,Norm,TA,TA,Fa,TA,Unf,WD,Normal,Unknown,CompShg,MetalSd,MetalSd,BrkTil,Unknown,Unknown,SBrkr,TA,GasA,No,Fa,TA,Unf,Unf,101000
8,2006,2006,484,1370,1370,1370,2,1,6,2,RL,Attchd,NridgHt,Norm,Norm,Gd,Gd,Gd,TA,RFn,WD,Normal,Gd,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Mn,Gd,TA,GLQ,Unf,202500
7,1921,1950,480,902,576,1710,2,0,9,2,RM,Detchd,OldTown,RRAn,Feedr,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,Stucco,Stucco,BrkTil,Unknown,Unknown,SBrkr,Gd,GasA,No,TA,TA,Unf,Unf,140000
7,1997,1998,645,1057,1057,2034,2,0,8,2,RL,Attchd,CollgCr,Norm,Norm,TA,Gd,Gd,TA,RFn,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,219500
8,2004,2005,852,1143,1143,2473,3,1,9,2,RL,BuiltIn,NridgHt,Norm,Norm,Gd,Ex,Gd,TA,RFn,WD,Normal,Gd,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Av,TA,TA,Unf,Unf,317000
7,1970,1989,576,2207,1947,2207,2,1,7,2,RL,Attchd,NAmes,PosA,Norm,TA,Gd,TA,TA,RFn,WD,Normal,Gd,CompShg,Plywood,Plywood,CBlock,Unknown,Unknown,SBrkr,TA,GasA,Gd,TA,TA,GLQ,Unf,180000
7,2003,2003,558,1479,1453,1479,2,0,7,2,RL,Attchd,CollgCr,Norm,Norm,Gd,Gd,Gd,TA,RFn,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Av,TA,TA,GLQ,Unf,226000
4,1945,1950,220,747,747,747,1,0,4,1,RM,Attchd,OldTown,Artery,Norm,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,MetalSd,MetalSd,CBlock,Unknown,Unknown,SBrkr,TA,GasA,No,TA,Gd,Unf,Unf,80000
7,1953,1953,667,1304,1304,2287,2,1,7,2,RL,Attchd,ClearCr,Norm,Norm,Gd,TA,TA,TA,Fin,WD,Normal,TA,CompShg,BrkFace,AsbShng,CBlock,Unknown,Unknown,SBrkr,TA,GasW,No,TA,TA,BLQ,Unf,225000
7,1973,1973,516,2223,2223,2223,2,2,8,2,RL,Attchd,NAmes,Norm,Norm,TA,Gd,TA,TA,Fin,WD,Normal,Gd,CompShg,Plywood,Plywood,CBlock,Unknown,Unknown,SBrkr,Ex,GasA,Gd,TA,Gd,ALQ,Unf,244000
4,1982,2006,360,845,845,845,2,0,4,1,RL,Detchd,Mitchel,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,HdBoard,Plywood,CBlock,Unknown,Unknown,SBrkr,TA,GasA,No,TA,TA,ALQ,Unf,129500
7,1998,1998,427,885,832,1718,2,1,7,2,RL,Attchd,Gilbert,Norm,Norm,TA,Gd,TA,TA,Fin,WD,Normal,TA,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Gd,GasA,No,TA,TA,Unf,Unf,185000
5,1954,2003,490,1086,1086,1086,2,0,6,1,RL,Attchd,NAmes,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,Wd Sdng,Wd Sdng,CBlock,Unknown,Unknown,SBrkr,Gd,GasA,No,TA,TA,ALQ,BLQ,144900
3,1915,1950,379,840,840,1605,1,0,8,2,RM,Detchd,OldTown,Norm,Norm,Gd,Fa,TA,TA,Unf,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,CBlock,Unknown,Unknown,SBrkr,Gd,GasA,No,TA,Gd,Unf,Unf,107400
4,1973,1973,297,526,462,988,1,0,5,1,RM,BuiltIn,MeadowV,Norm,Norm,TA,Gd,TA,TA,Unf,WD,Normal,Unknown,CompShg,CemntBd,CmentBd,CBlock,Unknown,Unknown,SBrkr,TA,GasA,Gd,TA,TA,GLQ,Unf,91000
4,1956,1956,283,952,952,952,1,0,4,1,RL,Detchd,NAmes,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,CBlock,Unknown,Unknown,FuseA,Ex,GasA,No,TA,TA,ALQ,Unf,135750
5,1948,2001,240,1072,672,1285,1,0,6,1,RM,Detchd,BrkSide,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,Wd Sdng,Wd Sdng,CBlock,Unknown,Unknown,SBrkr,TA,GasA,No,TA,TA,BLQ,GLQ,127000
4,1968,1968,0,1768,1768,1768,0,0,8,2,RL,Unknown,Sawyer,Norm,Norm,TA,TA,TA,Unknown,Unknown,WD,Normal,Unknown,CompShg,HdBoard,HdBoard,CBlock,Unknown,Unknown,SBrkr,TA,GasA,No,TA,TA,Unf,Unf,136500
5,1910,1981,440,682,440,1230,2,0,5,1,RM,Detchd,OldTown,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,Unknown,CompShg,Wd Sdng,Wd Sdng,PConc,Unknown,Unknown,SBrkr,Gd,GasA,No,TA,TA,Unf,Unf,110000
6,1968,1968,509,1182,896,2142,1,1,8,2,RL,Attchd,NAmes,Norm,Norm,TA,Gd,Gd,TA,Fin,WD,Normal,Gd,CompShg,VinylSd,VinylSd,CBlock,Unknown,Unknown,SBrkr,TA,GasA,No,TA,Gd,Rec,Unf,193500
6,1998,1998,405,1337,1237,1337,2,0,5,2,RM,Attchd,Mitchel,Norm,Norm,TA,Ex,TA,TA,Fin,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,Gd,Gd,GLQ,Unf,153500
8,2007,2007,758,1563,1563,1563,3,1,6,2,RL,Attchd,Somerst,Norm,Norm,TA,Gd,Gd,TA,RFn,WD,Normal,Gd,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,245000
5,1960,1960,461,1065,1065,1065,2,0,6,1,RL,Detchd,NAmes,Norm,Norm,TA,TA,TA,TA,Unf,COD,Normal,Unknown,CompShg,MetalSd,MetalSd,CBlock,Unknown,Unknown,SBrkr,Gd,GasA,No,TA,TA,Unf,Unf,126500
7,1995,1996,400,804,384,1474,2,1,7,2,RL,BuiltIn,Gilbert,Norm,Norm,TA,Gd,TA,TA,Fin,WD,Normal,TA,CompShg,HdBoard,HdBoard,PConc,Shed,Unknown,SBrkr,Gd,GasA,No,TA,TA,Unf,Unf,168500
8,1991,1992,462,1301,1288,2417,2,1,9,2,RL,Attchd,NoRidge,Norm,Norm,Gd,Gd,Gd,TA,Unf,WD,Normal,TA,CompShg,HdBoard,HdBoard,CBlock,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,Unf,Unf,260000
6,2005,2005,400,684,684,1560,2,1,6,2,RL,BuiltIn,Gilbert,Norm,Norm,Gd,Gd,Gd,TA,Fin,WD,Normal,Gd,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Av,TA,TA,Unf,Unf,174000
6,2009,2009,528,612,612,1224,2,0,4,2,FV,Detchd,Somerst,Norm,Norm,Gd,Gd,Gd,TA,RFn,New,Partial,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Av,TA,TA,Unf,Unf,164500
3,1915,1982,0,1013,1013,1526,0,0,6,1,C (all),Unknown,IDOTRR,Feedr,Feedr,Fa,TA,Fa,Unknown,Unknown,ConLD,Abnorml,Unknown,CompShg,Plywood,Plywood,CBlock,Unknown,Unknown,SBrkr,TA,GasA,No,Fa,Fa,Unf,Unf,85000
4,1994,1995,0,990,990,990,0,0,5,1,RL,Unknown,CollgCr,Norm,Norm,TA,Gd,TA,Unknown,Unknown,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,123600
4,1950,1950,420,1040,0,1040,2,0,4,1,RL,Detchd,NAmes,Norm,Norm,TA,Unknown,TA,TA,Unf,WD,Normal,Unknown,CompShg,BrkFace,Wd Sdng,Slab,Unknown,Unknown,FuseA,TA,GasA,Unknown,Unknown,TA,Unknown,Unknown,109900
5,1961,1961,480,1235,1235,1235,2,0,6,1,RL,Attchd,NAmes,Norm,Norm,TA,TA,TA,TA,Unf,WD,Abnorml,Unknown,CompShg,HdBoard,HdBoard,CBlock,Unknown,Unknown,SBrkr,TA,GasA,No,TA,TA,Rec,Unf,98600
5,1921,2006,432,964,876,964,2,0,5,1,RL,Detchd,Crawfor,Norm,Norm,TA,Gd,TA,TA,Unf,WD,Normal,Unknown,CompShg,Wd Sdng,Wd Sdng,BrkTil,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,Gd,ALQ,Unf,163500
6,1910,1998,506,1260,1214,2291,2,1,9,2,C (all),Detchd,OldTown,Norm,Norm,TA,TA,TA,TA,Unf,WD,Normal,Gd,CompShg,MetalSd,MetalSd,BrkTil,Unknown,Unknown,SBrkr,Ex,GasW,Mn,Fa,TA,Rec,Unf,133900
